complaint_text,category,priority,sentiment
This is to bring to your notice that The staircase area is infested with stray animals. This needs urgent attention from the concerned department.,Cleanliness,High,Neutral
This is to bring to your notice that The switchboard in room 105 seriously switchboard gives mild shocks when touched. This needs urgent attention from the concerned department.,Electricity,Critical,Negative
"Respected Sir/Madam, The printer server keeps timing out when uploading assignments. I would appreciate a quick response.",IT/Network,Medium,Negative
This is to bring to your notice that The hostel room fan totally is not cleaned regularly and smells bad. I request immediate attention to this matter.,Hostel,Medium,Negative
I am extremely disappointed that The college portal absolutely is completely down in the entire block. I request immediate attention to this matter.,IT/Network,Critical,Negative
I would like to inform you that The sports equipment seriously keeps crashing on both Android and iOS. I hope this gets resolved quickly.,Other,Medium,Negative
I want to report that The biometric login system has very weak signal in the library section. Kindly take necessary action as soon as possible.,IT/Network,Low,Neutral
"To whomsoever it may concern, The projector in the seminar hall is cracked and unsafe to use. Thank you for looking into this.",Infrastructure,Critical,Negative
I am extremely disappointed that The classroom lighting was damaged during the last storm and remains unrepaired. Please resolve this at the earliest.,Infrastructure,Medium,Negative
"Respected Sir/Madam, The alumni portal was conducted without proper transparency. I would appreciate a quick response.",Other,High,Neutral
It has come to my attention that The hostel laundry service was not addressed despite the pest control request. Please resolve this at the earliest.,Hostel,High,Negative
Kindly look into the issue that The campus Wi-Fi router very keeps timing out when uploading assignments. I request immediate attention to this matter.,IT/Network,Medium,Negative
I am writing to complain that The dustbins near the parking lot needs immediate attention from housekeeping staff. I request immediate attention to this matter.,Cleanliness,Medium,Neutral
I want to report that The night security patrol seriously needs strengthening after the recent incident. I would appreciate a quick response.,Security,Critical,Negative
This is to bring to your notice that The window glass in the physics lab is cracked and unsafe to use. This needs urgent attention from the concerned department.,Infrastructure,Critical,Negative
"I just wanted to appreciate that the book issue counter was fixed quickly and works great now, thank you!",Library,Low,Positive
I would like to inform you that The hostel Wi-Fi is broken and needs replacement.,Hostel,Medium,Negative
I am extremely disappointed that The microscopes in the biology lab pose a safety hazard to students.,Laboratory,Critical,Negative
"Excellent support was given when I reported an issue with the bus route schedule, really appreciate the effort.",Transport,Low,Positive
Please share the standard procedure for the girls washroom whenever possible.,Cleanliness,Medium,Neutral
"Respected Sir/Madam, The hostel laundry service is too early and inconvenient for students with late labs. Please fix this issue soon.",Hostel,Low,Negative
Wanted to confirm the schedule/details related to the book renewal system when convenient.,Library,Medium,Neutral
"To whomsoever it may concern, The power supply in the library has been out for the entire day.",Electricity,High,Negative
"To whomsoever it may concern, The certificate issuance counter extremely staff is uncooperative and unresponsive to queries. Please resolve this at the earliest.",Administration,Medium,Negative
I would like to inform you that The college corridors absolutely needs immediate attention from housekeeping staff. Please resolve this at the earliest.,Cleanliness,Medium,Negative
This is to bring to your notice that The certificate issuance counter completely rejected my application without a valid reason. Kindly take necessary action as soon as possible.,Administration,High,Negative
I am pleased to note that the sports ground has been upgraded and is working perfectly now.,Cleanliness,Low,Positive
The bus route schedule totally skipped our stop without waiting. Please resolve this at the earliest.,Transport,Medium,Negative
I am writing to complain that The canteen food quality has not been updated for the current batch. Please resolve this at the earliest.,Other,Low,Negative
I am extremely disappointed that The sports equipment has not been updated for the current batch. Please fix this issue soon.,Other,Low,Negative
"To whomsoever it may concern, The book renewal system is too noisy to study in. Please fix this issue soon.",Library,Low,Negative
The computer lab systems completely pose a safety hazard to students. I hope this gets resolved quickly.,Laboratory,Critical,Negative
Kindly look into the issue that The migration certificate process seriously lost my submitted documents. Thank you for looking into this.,Administration,Critical,Negative
"Respected Sir/Madam, The power supply in the library totally flickers constantly, damaging appliances. This needs urgent attention from the concerned department.",Electricity,Medium,Negative
Kindly look into the issue that The bonafide certificate request takes an unusually long time to process. This needs urgent attention from the concerned department.,Administration,Low,Negative
I would like to inform you that The library seating arrangement seriously charges an unfair fine despite timely return. Kindly take necessary action as soon as possible.,Library,Medium,Neutral
The lab exhaust fan extremely are damaged and unusable. Thank you for looking into this.,Laboratory,High,Negative
Please share the standard procedure for the parking area for two-wheelers whenever possible.,Transport,High,Neutral
"To whomsoever it may concern, The workshop machinery very need urgent calibration as readings are inaccurate.",Laboratory,High,Negative
I am writing to complain that The accounts department charges hidden fees that were not communicated earlier.,Administration,Medium,Negative
It has come to my attention that The window glass in the physics lab absolutely needs urgent maintenance before it collapses. Kindly take necessary action as soon as possible.,Infrastructure,Critical,Negative
I want to report that The lab power sockets very has been out for the entire day. I request immediate attention to this matter.,Electricity,High,Negative
I would like to inform you that The switchboard in room 105 totally wiring is exposed and could cause a fire. Please resolve this at the earliest.,Electricity,Critical,Negative
I am pleased to note that the girls washroom has been upgraded and is working perfectly now.,Cleanliness,Low,Positive
I am extremely disappointed that The power supply in the library was never restored after the recent short circuit. This is causing a lot of inconvenience to students.,Electricity,Critical,Negative
I am writing to complain that The switchboard in room 105 keeps tripping every few hours. I request immediate attention to this matter.,Electricity,Medium,Negative
The boys washroom smells extremely bad and is unhygienic.,Cleanliness,High,Negative
"Great job by the staff, the lab computers has improved a lot recently and I am satisfied.",Laboratory,Low,Positive
"Thanks to the quick response team, the book renewal system issue was resolved smoothly and I am happy with the service.",Library,Low,Positive
"It has come to my attention that The switchboard in room 105 flickers constantly, damaging appliances. I would appreciate a quick response.",Electricity,Medium,Neutral
I am writing to complain that The hostel gate timing absolutely is not cleaned regularly and smells bad. This needs urgent attention from the concerned department.,Hostel,Medium,Negative
The internet connection totally is completely down in the entire block. I would appreciate a quick response.,IT/Network,Critical,Negative
This is to bring to your notice that The result declaration seriously has scheduling conflicts between two subjects. I hope this gets resolved quickly.,Examination,High,Neutral
"To whomsoever it may concern, The window glass in the physics lab is not working properly during lectures. This is causing a lot of inconvenience to students.",Infrastructure,Medium,Negative
"To whomsoever it may concern, The corridor flooring extremely needs urgent maintenance before it collapses. This needs urgent attention from the concerned department.",Infrastructure,Critical,Negative
This is to bring to your notice that The bonafide certificate request absolutely rejected my application without a valid reason. This needs urgent attention from the concerned department.,Administration,High,Negative
Kindly look into the issue that The ceiling fan in room 204 very is broken and needs immediate repair. Kindly take necessary action as soon as possible.,Infrastructure,High,Negative
This is to bring to your notice that The parking area for two-wheelers is overcrowded beyond safe capacity. I request immediate attention to this matter.,Transport,High,Negative
I am extremely disappointed that The drainage near the hostel extremely have not been emptied in over a week. Kindly take necessary action as soon as possible.,Cleanliness,Medium,Negative
"Excellent support was given when I reported an issue with the internet connection, really appreciate the effort.",IT/Network,Low,Positive
I am extremely disappointed that The classroom lighting completely is cracked and unsafe to use.,Infrastructure,Critical,Negative
I am writing to complain that The scholarship application process is not answering calls or emails. Thank you for looking into this.,Administration,Low,Neutral
Please share the standard procedure for the reference section whenever possible.,Library,Medium,Neutral
The internet connection very is asking for a password that was never issued to me. Please resolve this at the earliest.,IT/Network,Low,Negative
"Requesting information on the hostel laundry service for my reference, not urgent.",Hostel,Low,Neutral
Kindly look into the issue that The wiring near the canteen completely have not worked for the last week making it dark at night. This needs urgent attention from the concerned department.,Electricity,High,Negative
"Thanks to the quick response team, Wi-Fi issue was resolved smoothly and I am happy with the service.",IT/Network,Low,Positive
I am extremely disappointed that The bus conductor is overcrowded beyond safe capacity. This needs urgent attention from the concerned department.,Transport,High,Neutral
It has come to my attention that The sports ground totally has not been cleaned for several days. This is causing a lot of inconvenience to students.,Cleanliness,Medium,Negative
I am extremely disappointed that The accounts department completely rejected my application without a valid reason. Kindly take necessary action as soon as possible.,Administration,High,Negative
I would like to inform you that The printer server very has not been working since morning and I cannot access any online resources.,IT/Network,High,Negative
This is to bring to your notice that The accounts department seriously gave incorrect information leading to confusion.,Administration,Low,Negative
This is to bring to your notice that The staircase area extremely has not been cleaned for several days. Please fix this issue soon.,Cleanliness,Medium,Negative
I want to report that The staircase area has broken taps causing water wastage and mess. Kindly take necessary action as soon as possible.,Cleanliness,Medium,Negative
This is to bring to your notice that The exam invigilator extremely has been delayed without any official communication. Please fix this issue soon.,Examination,Medium,Negative
I want to report that The lab exhaust fan totally have not been replaced despite multiple requests. Please fix this issue soon.,Laboratory,Medium,Negative
"To whomsoever it may concern, The canteen area is infested with stray animals. Please fix this issue soon.",Cleanliness,High,Negative
I want to report that Wi-Fi extremely has not been working since morning and I cannot access any online resources. This is causing a lot of inconvenience to students.,IT/Network,High,Negative
"I would like to inform you that The canteen area very overflowed and water is stagnant, breeding mosquitoes. This is causing a lot of inconvenience to students.",Cleanliness,High,Negative
This is to bring to your notice that The online exam system very logged me out in the middle of the exam. Please resolve this at the earliest.,Examination,Critical,Negative
I am extremely disappointed that The lecture hall bench is cracked and unsafe to use. Please fix this issue soon.,Infrastructure,Critical,Negative
"Requesting information on the result declaration for my reference, not urgent.",Examination,Medium,Neutral
"Respected Sir/Madam, The ID card renewal process staff is uncooperative and unresponsive to queries. I hope this gets resolved quickly.",Administration,Medium,Negative
Wanted to confirm the schedule/details related to the book issue counter when convenient.,Library,Medium,Neutral
The event registration system has broken links and outdated content. This needs urgent attention from the concerned department.,Other,Low,Neutral
The window glass in the physics lab extremely is broken and needs immediate repair. I hope this gets resolved quickly.,Infrastructure,High,Negative
"I just wanted to appreciate that the classroom floors was fixed quickly and works great now, thank you!",Cleanliness,Low,Positive
